payment_id,order_id,payment_method,payment_status,transaction_id
51,51,Debit Card,Paid,2466cdff-5f8
52,52,UPI,Pending,f8c7ab0b-1e5
53,53,Credit Card,Paid,85255b2a-e4c
54,54,Cash on Delivery,Paid,391f6ae5-70e
55,55,Credit Card,Paid,39c943f4-40d
56,56,Cash on Delivery,Paid,c77e9d73-2d3
57,57,Debit Card,Paid,a348b240-a64
58,58,Cash on Delivery,Pending,2f639019-bc1
59,59,UPI,Paid,7f669b2a-368
60,60,Cash on Delivery,Paid,5e1db458-5ce
61,61,UPI,Paid,2d93454c-bef
62,62,Cash on Delivery,Paid,61b1aca8-ebd
63,63,UPI,Paid,77cd2f3b-c0a
64,64,Cash on Delivery,Paid,da401c56-b7e
65,65,Debit Card,Paid,23f83efc-274
66,66,Debit Card,Paid,afe5f405-2e3
67,67,UPI,Paid,8c37908a-591
68,68,Debit Card,Paid,cfd889fe-c0a
69,69,Net Banking,Pending,bab5fcd9-a07
70,70,UPI,Paid,844c9f06-314
71,71,Debit Card,Paid,b5501f31-5c8
72,72,UPI,Paid,c4a719f6-0b0
73,73,Cash on Delivery,Pending,5bd8717d-a46
74,74,Cash on Delivery,Paid,000d67c3-25c
75,75,Debit Card,Paid,fffa6d4c-707
76,76,Cash on Delivery,Pending,8f74f8fb-57d
77,77,Net Banking,Paid,ffed0206-89b
78,78,Cash on Delivery,Paid,1d221d84-976
79,79,Cash on Delivery,Pending,2630a213-9b2
80,80,Net Banking,Paid,df88d412-460
81,81,Credit Card,Paid,d14a5601-aca
82,82,Debit Card,Paid,6d6a0ce4-221
83,83,UPI,Paid,2c401414-f62
84,84,Cash on Delivery,Paid,708f4788-d63
85,85,UPI,Paid,74e8ce6e-79c
86,86,UPI,Paid,6fee63b5-c5b
87,87,Debit Card,Paid,ef5d8b85-e5f
88,88,UPI,Pending,833ea764-489
89,89,Debit Card,Paid,1d62a9cd-102
90,90,Credit Card,Paid,478c31f2-0c9
91,91,UPI,Paid,ca7c581c-031
92,92,Cash on Delivery,Paid,965a9cf7-315
93,93,UPI,Paid,6141a104-ba7
94,94,Net Banking,Paid,eecca3e6-e1b
95,95,UPI,Paid,82c2c7fd-258
96,96,Debit Card,Paid,a1ae2daa-2fc
97,97,UPI,Paid,7c319ef8-e54
98,98,Net Banking,Paid,e8367a9f-a29
99,99,Credit Card,Paid,0637d785-661
100,100,UPI,Pending,ddea9570-e34
101,101,Cash on Delivery,Paid,dd384a6d-7c3
102,102,Cash on Delivery,Pending,67e7aade-031
103,103,Debit Card,Paid,c8e72544-e84
104,104,Net Banking,Paid,739a3162-9f3
105,105,Net Banking,Paid,3d438738-ab9
106,106,UPI,Paid,1968987d-9f1
107,107,UPI,Paid,ad9a1c9a-023
108,108,Credit Card,Paid,bacda5e5-897
109,109,UPI,Paid,76ad70fb-52e
110,110,Debit Card,Paid,a38b4957-9b6
111,111,Net Banking,Pending,0fb5d99b-af1
112,112,Net Banking,Paid,de83e43e-a05
113,113,Net Banking,Paid,8ea0279b-323
114,114,Debit Card,Pending,c6bbfb76-cd0
115,115,Debit Card,Paid,1932b6ca-58e
116,116,Net Banking,Pending,54951145-a52
117,117,Cash on Delivery,Paid,45646cd9-243
118,118,Credit Card,Paid,be859652-207
119,119,Cash on Delivery,Paid,275e7431-868
120,120,Cash on Delivery,Paid,4cf7f4c9-4b4
121,121,Net Banking,Paid,095d0f0f-3d9
122,122,Credit Card,Paid,9bace1a8-a25
123,123,Net Banking,Paid,3711ae34-724
124,124,Debit Card,Paid,99e9c845-484
125,125,UPI,Paid,d587c78f-e12
126,126,Net Banking,Paid,6edc4933-d26
127,127,Debit Card,Paid,71f3b78a-c55
128,128,Net Banking,Paid,2c53215e-95a
129,129,Cash on Delivery,Paid,bacbff89-b0a
130,130,UPI,Paid,b7afc6de-0d8
131,131,Debit Card,Paid,3f70f5dc-813
132,132,Cash on Delivery,Pending,a82acca0-115
133,133,Cash on Delivery,Paid,21727c65-99a
134,134,Net Banking,Paid,e62d21cf-82d
135,135,Debit Card,Paid,828bdd4c-a60
136,136,Net Banking,Paid,18d82442-332
137,137,UPI,Paid,d2bc7a5c-5c9
138,138,Debit Card,Paid,81521a10-009
139,139,Cash on Delivery,Paid,25fe20cf-c8f
140,140,Credit Card,Pending,47e162fb-d5e
141,141,UPI,Paid,e0d2e808-d35
142,142,Cash on Delivery,Paid,c8eddae5-92e
143,143,Net Banking,Paid,405f0d9c-77d
144,144,Cash on Delivery,Paid,81202fb3-4e8
145,145,Cash on Delivery,Paid,4f4e0eda-7f6
146,146,Debit Card,Paid,548a0307-9eb
147,147,Debit Card,Paid,4f858f57-e9a
148,148,Cash on Delivery,Paid,dc725227-9de
149,149,Debit Card,Paid,260733df-609
150,150,UPI,Paid,648b2c1f-dc5
151,151,Credit Card,Paid,1dc2adef-619
152,152,Net Banking,Pending,f9a55163-ed6
153,153,Net Banking,Pending,94ce3bae-162
154,154,Cash on Delivery,Paid,7b77b47c-486
155,155,UPI,Paid,bcc13d41-8f5
156,156,UPI,Paid,eb2c43be-bf4
157,157,Cash on Delivery,Paid,6bf8d3dd-a2d
158,158,Net Banking,Paid,2649ed6b-04f
159,159,UPI,Paid,c51d6991-a8f
160,160,UPI,Pending,c8af2950-d1f
161,161,Cash on Delivery,Paid,10032edf-9a5
162,162,Credit Card,Paid,a3847ba6-0ee
163,163,UPI,Paid,c9d63361-5da
164,164,Debit Card,Paid,b7faac22-1f6
165,165,Credit Card,Paid,8348ccf5-355
166,166,Credit Card,Paid,69b1d87a-07d
167,167,Credit Card,Paid,5e23e7c4-6f9
168,168,Net Banking,Paid,fb0aa58c-cf9
169,169,UPI,Pending,0fbcb448-fb0
170,170,Debit Card,Pending,73958634-b0d
171,171,UPI,Paid,a765c814-b24
172,172,Credit Card,Paid,ed86ffb5-09a
173,173,Debit Card,Paid,56ec5663-5bd
174,174,Credit Card,Paid,bdd46d4d-4d8
175,175,UPI,Pending,b10eb795-40f
176,176,Debit Card,Pending,7e3eb742-da9
177,177,Cash on Delivery,Paid,0c1195b1-078
178,178,Cash on Delivery,Paid,e2fd0e34-741
179,179,Debit Card,Paid,13f45757-c63
180,180,Cash on Delivery,Paid,6422a302-e0c
181,181,Credit Card,Pending,0f152d98-5c1
182,182,Debit Card,Paid,e40ac699-e5c
183,183,Debit Card,Paid,207d5754-133
184,184,UPI,Paid,a491724a-604
185,185,Credit Card,Paid,6d4af515-27f
186,186,UPI,Pending,0865ff16-618
187,187,Credit Card,Paid,12efd6ce-5fb
188,188,Credit Card,Paid,9a5627e1-c32
189,189,Cash on Delivery,Paid,541a2592-51e
190,190,Net Banking,Paid,7882fb2b-280
191,191,Credit Card,Paid,1b23b964-0ab
192,192,Net Banking,Paid,5381054b-2ff
193,193,Credit Card,Paid,2ed25741-dcb
194,194,Cash on Delivery,Paid,40967065-648
195,195,Credit Card,Paid,de410659-722
196,196,Net Banking,Paid,34202083-782
197,197,Cash on Delivery,Paid,a58c14b1-851
198,198,Credit Card,Paid,6c33ff77-993
199,199,Net Banking,Pending,0eca4109-ce1
200,200,Net Banking,Paid,cb913c57-c67
201,201,Net Banking,Paid,a0404e13-292
202,202,UPI,Paid,78b02c5b-644
203,203,UPI,Paid,9010fd8d-c9e
204,204,Cash on Delivery,Pending,e2896a6d-4a5
205,205,Debit Card,Paid,13cbfef0-b8c
206,206,UPI,Paid,6d13cbdc-d17
207,207,Net Banking,Paid,68f78942-e97
208,208,Net Banking,Pending,e6b0f70e-e9d
209,209,UPI,Pending,35339384-eb7
210,210,Debit Card,Pending,6b2ccc75-7b3
211,211,Credit Card,Paid,02fd3074-aa6
212,212,Net Banking,Paid,0e1c8e9a-6c7
213,213,Debit Card,Paid,1292daad-c74
214,214,Cash on Delivery,Pending,847a51d2-53c
215,215,Credit Card,Paid,fe221d78-6aa
216,216,Cash on Delivery,Pending,77e3d2ed-9e5
217,217,Credit Card,Paid,37a8a885-326
218,218,Debit Card,Pending,50688a00-cc5
219,219,Debit Card,Paid,ae48d621-5c5
220,220,Net Banking,Pending,d3a11794-1f1
221,221,UPI,Paid,93d7d328-04d
222,222,Net Banking,Paid,1211984e-912
223,223,Credit Card,Paid,60dfa518-106
224,224,UPI,Paid,0025cba8-a1e
225,225,Cash on Delivery,Pending,9cb8e838-fd6
226,226,UPI,Paid,60b117eb-ed3
227,227,Debit Card,Paid,70a08a65-b92
228,228,Credit Card,Pending,4ed5de42-284
229,229,Debit Card,Paid,e20de16a-058
230,230,Debit Card,Pending,04d63cda-4b5
231,231,Debit Card,Pending,f5b0b371-96c
232,232,UPI,Paid,f5e5a277-d6c
233,233,Credit Card,Pending,98c06fab-a4e
234,234,Debit Card,Paid,91211063-183
235,235,Net Banking,Paid,cf6cde1e-713
236,236,Debit Card,Paid,d4de2d34-24a
237,237,UPI,Paid,73d244cd-cc4
238,238,Debit Card,Paid,0973f196-9c5
239,239,Net Banking,Pending,7ecdc247-852
240,240,Credit Card,Paid,772fe469-415
241,241,UPI,Pending,962888ba-ca4
242,242,UPI,Paid,e61ec1c0-9b6
243,243,Credit Card,Paid,16066737-523
244,244,UPI,Paid,89d2203b-a7b
245,245,Debit Card,Pending,789725be-1f6
246,246,Debit Card,Paid,d6b06b0c-045
247,247,Debit Card,Paid,60e48862-83c
248,248,Debit Card,Paid,f16a344b-9d2
249,249,UPI,Pending,7ed8cfab-960
250,250,Net Banking,Pending,172e007a-fd1
251,251,Net Banking,Paid,fb131a41-605
252,252,Net Banking,Paid,42e1efba-b53
253,253,Cash on Delivery,Paid,029dd0d7-4cb
254,254,Debit Card,Paid,8493b0c1-ece
255,255,Cash on Delivery,Paid,c2be8af7-b99
256,256,Debit Card,Paid,ec7ff627-454
257,257,UPI,Paid,14c60208-1e4
258,258,Cash on Delivery,Paid,6326c4b9-2e4
259,259,Debit Card,Paid,17d5e204-a65
260,260,Cash on Delivery,Paid,7b40a35d-d26
261,261,Cash on Delivery,Pending,7faecd3e-628
262,262,UPI,Pending,5b4ecab2-b69
263,263,Net Banking,Paid,2fdfbaa1-70f
264,264,Net Banking,Pending,adece53d-49f
265,265,Cash on Delivery,Pending,80b9dd08-136
266,266,UPI,Paid,f0aeb0b0-ce4
267,267,Net Banking,Pending,4cedd722-881
268,268,Net Banking,Paid,b9b82fd5-36e
269,269,Debit Card,Paid,30c279f3-f78
270,270,UPI,Pending,0498e945-3d4
271,271,Credit Card,Paid,2dff86bd-2ca
272,272,Debit Card,Paid,8643f83b-1f6
273,273,Cash on Delivery,Paid,a7767c30-51e
274,274,Cash on Delivery,Paid,4963fc5f-643
275,275,Debit Card,Paid,802c15f1-8fb
276,276,Net Banking,Pending,a19cfa8f-7db
277,277,Cash on Delivery,Paid,84d7ce4e-2e0
278,278,UPI,Paid,c2a6e0a2-5ff
279,279,Debit Card,Pending,13b79c90-431
280,280,Cash on Delivery,Paid,ed587ade-9cd
281,281,Cash on Delivery,Paid,ce7217f9-90b
282,282,Net Banking,Paid,f3e677e5-fef
283,283,UPI,Paid,c7a3ff23-830
284,284,UPI,Pending,c22237b0-b24
285,285,UPI,Paid,f7fa8aae-765
286,286,Debit Card,Paid,f88b3653-077
287,287,Net Banking,Paid,20448de9-d45
288,288,Debit Card,Paid,349a7bf0-16f
289,289,Debit Card,Pending,b8c4e1f4-ead
290,290,Credit Card,Paid,181fd75f-5d4
291,291,Cash on Delivery,Paid,4116e239-b2a
292,292,Debit Card,Pending,f3da59ae-ab9
293,293,Cash on Delivery,Pending,62860d94-0d6
294,294,Credit Card,Paid,cd3c8b0e-64f
295,295,Net Banking,Paid,c5ed7520-4ba
296,296,Credit Card,Paid,a3984b5d-b37
297,297,Credit Card,Paid,000889f4-fe6
298,298,UPI,Paid,40195a36-998
299,299,Cash on Delivery,Paid,6bac0ce5-e3d
300,300,Cash on Delivery,Paid,e9456d5a-506
301,301,Debit Card,Pending,e3e6b420-e17
302,302,UPI,Paid,c5dc6055-6ad
303,303,Cash on Delivery,Paid,63b9d1b7-672
304,304,Cash on Delivery,Paid,17b4833a-271
305,305,Net Banking,Paid,53284f03-993
306,306,Credit Card,Pending,a6c98049-5b9
307,307,Debit Card,Paid,de26a298-570
308,308,UPI,Paid,ba1d2386-840
309,309,Debit Card,Paid,72c40301-cb2
310,310,Credit Card,Paid,9d30bda5-35a
311,311,Credit Card,Paid,86c6630c-84e
312,312,Net Banking,Pending,c2a02593-832
313,313,Net Banking,Paid,09a536a8-c27
314,314,Cash on Delivery,Pending,477390f3-ee6
315,315,Net Banking,Pending,c40a81a6-cfc
316,316,Cash on Delivery,Pending,aa49b328-9a5
317,317,Net Banking,Pending,1660452d-df3
318,318,Credit Card,Pending,4643ff59-abb
319,319,Cash on Delivery,Pending,f17f5d21-f6b
320,320,Net Banking,Paid,d707471b-d9b
321,321,Credit Card,Paid,1042b694-dbb
322,322,Net Banking,Pending,e186a168-661
323,323,Debit Card,Paid,b6e73e9a-4c0
324,324,Cash on Delivery,Paid,8d468c30-231
325,325,Credit Card,Paid,3cf8374a-412
326,326,Credit Card,Paid,576cfa87-2b9
327,327,UPI,Pending,1a916844-99a
328,328,Debit Card,Pending,e7850f9c-6e2
329,329,Cash on Delivery,Paid,c6fbc102-111
330,330,Cash on Delivery,Pending,f6e0572c-031
331,331,Debit Card,Pending,5603fc73-6f3
332,332,UPI,Paid,184f128d-d22
333,333,UPI,Paid,f22590a7-f59
334,334,Net Banking,Pending,85703bcd-435
335,335,Cash on Delivery,Paid,27a63e99-3b3
336,336,Credit Card,Paid,9fb008b7-55d
337,337,Credit Card,Pending,f72be7f5-6dc
338,338,Debit Card,Paid,f00359dc-2c3
339,339,UPI,Paid,7b081427-b00
340,340,Credit Card,Paid,0b2890d8-d72
341,341,Net Banking,Paid,ef038183-cdf
342,342,Net Banking,Paid,18fb0d4f-663
343,343,UPI,Pending,f2218495-3c5
344,344,UPI,Pending,b10f9f50-2e7
345,345,UPI,Paid,33aa6300-beb
346,346,Cash on Delivery,Paid,a8fc5b5e-03f
347,347,Credit Card,Pending,aac7b15d-6d1
348,348,Debit Card,Pending,8b5d7df4-9db
349,349,UPI,Paid,a53cb72e-bf0
350,350,Net Banking,Paid,660dde99-d75
351,351,Net Banking,Paid,028b361a-ffa
352,352,Debit Card,Paid,6bb1250c-dd0
353,353,Net Banking,Paid,fb1dbab8-472
354,354,Cash on Delivery,Pending,c5d6ee19-d96
355,355,Net Banking,Paid,f211fff6-ea1
356,356,Cash on Delivery,Paid,7b42c205-e59
357,357,Debit Card,Paid,1e94bebc-712
358,358,Debit Card,Pending,0990cd0d-e37
359,359,UPI,Pending,462e7fcc-155
360,360,Cash on Delivery,Paid,80121b6b-1b8
361,361,UPI,Pending,24347dee-13a
362,362,Cash on Delivery,Pending,ca706e25-1ab
363,363,Credit Card,Paid,a7a1a002-a84
364,364,Debit Card,Paid,05304388-ae3
365,365,Cash on Delivery,Paid,e03cf47c-fa1
366,366,UPI,Paid,59876ce0-7d8
367,367,Net Banking,Pending,508632f5-e2b
368,368,Debit Card,Paid,dba4c5cb-24f
369,369,Cash on Delivery,Pending,5d0fd035-594
370,370,Cash on Delivery,Paid,4b32f9f9-5a3
371,371,UPI,Paid,638ae037-964
372,372,Cash on Delivery,Paid,cff025fd-66c
373,373,Credit Card,Pending,670e1793-ae7
374,374,Cash on Delivery,Paid,b7bf2562-ec3
375,375,Debit Card,Paid,0fe982f1-683
376,376,UPI,Paid,9022525d-fda
377,377,Debit Card,Paid,db044906-14e
378,378,Debit Card,Paid,3ab64bf8-471
379,379,Credit Card,Pending,7eb316f9-d48
380,380,Net Banking,Paid,0b950439-6a7
381,381,UPI,Pending,3254b582-0cf
382,382,Debit Card,Paid,339b5e50-8f5
383,383,Credit Card,Pending,bacd9aac-de9
384,384,Credit Card,Paid,81c2e8c7-85a
385,385,Cash on Delivery,Paid,c20771f9-830
386,386,Credit Card,Pending,05bc6daa-617
387,387,UPI,Paid,7be950ce-8a0
388,388,Credit Card,Pending,cbea6ccb-5f9
389,389,Net Banking,Paid,144edad7-225
390,390,UPI,Pending,ccb3da25-897
391,391,Debit Card,Paid,df78dd78-14d
392,392,Debit Card,Pending,723702f7-278
393,393,UPI,Pending,76e0a0a9-5e4
394,394,Net Banking,Pending,409184ad-005
395,395,Cash on Delivery,Paid,570172c8-89f
396,396,Debit Card,Paid,3c80ccc6-6e5
397,397,Net Banking,Paid,e06fa6d7-918
398,398,Credit Card,Paid,4f522748-48e
399,399,Net Banking,Paid,d8c5a694-208
400,400,Debit Card,Pending,1e01c2af-eb1
401,401,UPI,Paid,0a584e25-ca3
402,402,Net Banking,Paid,80e1143f-59d
403,403,Cash on Delivery,Pending,5c489fa5-c4f
404,404,UPI,Paid,b3a76d18-f97
405,405,Cash on Delivery,Paid,4707b9fd-b31
406,406,Cash on Delivery,Pending,b59c65fd-5d0
407,407,Cash on Delivery,Paid,9d2d2657-432
408,408,Debit Card,Paid,5f889c59-488
409,409,Debit Card,Paid,46875597-f7c
410,410,UPI,Paid,a4757c31-c1d
411,411,Net Banking,Paid,fcea23cb-1db
412,412,Debit Card,Paid,a5e7209d-e39
413,413,Net Banking,Paid,666a38ea-45b
414,414,UPI,Paid,992d4a3d-4f2
415,415,Cash on Delivery,Paid,f592597e-8df
416,416,Debit Card,Paid,ea8960db-958
417,417,Credit Card,Paid,3c85e53f-345
418,418,UPI,Paid,eda0d669-3da
419,419,Debit Card,Pending,8acb34ba-d0e
420,420,Debit Card,Paid,e279336d-bb2
421,421,UPI,Paid,db984a50-c48
422,422,Net Banking,Pending,1d98586d-373
423,423,Cash on Delivery,Paid,18463729-bbd
424,424,Net Banking,Paid,7dad50f7-7b3
425,425,Debit Card,Pending,7265ba63-0ba
426,426,Cash on Delivery,Paid,3792b916-4a2
427,427,UPI,Paid,fa75be63-cd8
428,428,Cash on Delivery,Paid,8eea5173-547
429,429,Cash on Delivery,Paid,a5e639ad-1e6
430,430,UPI,Paid,1c5fa4b4-34c
431,431,Net Banking,Paid,47d6fb9e-f94
432,432,Net Banking,Pending,530dfe89-afb
433,433,Credit Card,Pending,48af75b9-4d3
434,434,Net Banking,Paid,9f37f3b8-522
435,435,Net Banking,Paid,3bf49f03-fcd
436,436,Cash on Delivery,Paid,df7dce0c-7b3
437,437,Net Banking,Paid,cbbe1353-7a3
438,438,Debit Card,Paid,d81998a2-e83
439,439,Cash on Delivery,Paid,cc05d1d6-220
440,440,Cash on Delivery,Paid,8e47f549-3a5
441,441,UPI,Paid,1f7b097f-f60
442,442,UPI,Pending,bca60fff-35d
443,443,Credit Card,Pending,8ab44ff6-b98
444,444,Cash on Delivery,Pending,85b12b87-5dd
445,445,Net Banking,Pending,47126d6b-af9
446,446,Credit Card,Pending,24d74862-e2f
447,447,Net Banking,Pending,57b8accf-be8
448,448,UPI,Paid,cf577a09-bd9
449,449,Net Banking,Paid,f80d1740-de7
450,450,Debit Card,Paid,655775ae-504
451,451,Cash on Delivery,Paid,75d1a6f9-ea2
452,452,Cash on Delivery,Paid,9de87ccc-edb
453,453,Credit Card,Paid,a5d4d795-87d
454,454,Credit Card,Paid,f60b5175-69e
455,455,Cash on Delivery,Paid,1cf2e808-bac
456,456,Debit Card,Pending,b63ff83d-0e2
457,457,Debit Card,Pending,0e7a03cd-a07
458,458,UPI,Paid,0701d784-f17
459,459,Debit Card,Pending,3f273500-491
460,460,Net Banking,Paid,0ed6edae-c8d
461,461,UPI,Paid,3161e3e5-cc9
462,462,Net Banking,Paid,a6400922-b22
463,463,Cash on Delivery,Paid,c0cb191a-c5a
464,464,Cash on Delivery,Pending,38a03da1-e23
465,465,Cash on Delivery,Paid,6f73c2cd-ba4
466,466,Cash on Delivery,Paid,03d75979-ea8
467,467,UPI,Paid,4aa2558e-cd3
468,468,Net Banking,Paid,ccdb6607-447
469,469,Debit Card,Paid,1a45f5c8-721
470,470,UPI,Paid,430b8507-f62
471,471,UPI,Paid,4e983c4f-5f2
472,472,Debit Card,Paid,f0b22ddd-be7
473,473,Net Banking,Pending,5ec0c498-4b1
474,474,Debit Card,Paid,367251e9-8f3
475,475,Cash on Delivery,Paid,8b876b28-0d5
476,476,Net Banking,Paid,6fcac862-1b3
477,477,Credit Card,Pending,0df3c0ea-a0c
478,478,Cash on Delivery,Paid,0d01547a-08e
479,479,UPI,Paid,a5ae6d06-733
480,480,Net Banking,Pending,149e6675-d6c
481,481,UPI,Paid,397b8634-f2d
482,482,Credit Card,Paid,ebde6358-fce
483,483,Net Banking,Pending,3a8ec766-39f
484,484,Net Banking,Paid,d7387e96-f53
485,485,Credit Card,Paid,8d2316bf-341
486,486,UPI,Paid,ace41dc3-3b2
487,487,Credit Card,Paid,722db79a-e81
488,488,Debit Card,Paid,f9e0dc5f-8d0
489,489,Cash on Delivery,Paid,04230747-1be
490,490,Debit Card,Paid,b8da46e0-0b3
491,491,UPI,Pending,8eb77def-2f6
492,492,Debit Card,Paid,4649d37e-567
493,493,Net Banking,Paid,84b6d559-300
494,494,Credit Card,Pending,b0ffbc0f-ee8
495,495,Credit Card,Paid,f9950bed-022
496,496,Cash on Delivery,Paid,e042acab-4bf
497,497,Debit Card,Pending,4b4c4ceb-fe3
498,498,Debit Card,Pending,40d8a8e3-520
499,499,UPI,Pending,9384f842-8d8
500,500,Cash on Delivery,Paid,500224d7-c75
501,501,Net Banking,Paid,29e93656-3c8
502,502,Net Banking,Paid,6389d8da-706
503,503,Credit Card,Paid,e12fd8c4-26b
504,504,Debit Card,Paid,2ca3ae04-cac
505,505,Credit Card,Pending,e62c065e-13f
506,506,UPI,Paid,16f5fe65-bb7
507,507,Credit Card,Pending,ce1699a0-073
508,508,Debit Card,Paid,d7a01ffa-313
509,509,Debit Card,Paid,d19b8674-d48
510,510,UPI,Paid,bc9521ca-2e8
511,511,Net Banking,Paid,c0a1acf8-737
512,512,Cash on Delivery,Paid,1498d3b7-3cc
513,513,Credit Card,Paid,d05dd4d6-104
514,514,Credit Card,Paid,4e04031e-b49
515,515,Debit Card,Paid,67fd0ccc-76d
516,516,Credit Card,Paid,701571ff-1bf
517,517,UPI,Paid,c48077e6-ddb
518,518,UPI,Paid,1f1c6132-426
519,519,Debit Card,Pending,95eaf8b8-4fc
520,520,Debit Card,Paid,934c99c3-b0e
521,521,UPI,Pending,cd56efd9-92d
522,522,Net Banking,Paid,51748692-779
523,523,UPI,Paid,aeb826e9-42b
524,524,UPI,Pending,6ca7551f-de0
525,525,Net Banking,Pending,b7c87e42-5da
526,526,Credit Card,Paid,c6857a89-827
527,527,Credit Card,Paid,7ea09175-4fc
528,528,UPI,Paid,143beb3c-7f7
529,529,UPI,Pending,d76aefe5-f52
530,530,Cash on Delivery,Pending,7c4d15ee-282
531,531,Cash on Delivery,Pending,3f007765-86f
532,532,Cash on Delivery,Paid,b27b3645-a98
533,533,Debit Card,Paid,ccdf6761-1ea
534,534,Net Banking,Pending,ec5e553b-91b
535,535,Credit Card,Paid,6c7e97b1-ddc
536,536,UPI,Paid,63bd25b1-c0c
537,537,Cash on Delivery,Pending,9f2b4f5c-8b5
538,538,UPI,Paid,31931677-1ec
539,539,Credit Card,Paid,707efb33-28c
540,540,Credit Card,Paid,5fe3185b-2fb
541,541,Net Banking,Paid,74967169-8ea
542,542,Credit Card,Pending,999d19dc-735
543,543,Debit Card,Paid,90003b84-120
544,544,UPI,Paid,a246ab9d-2cc
545,545,Credit Card,Paid,24682334-f5d
546,546,Net Banking,Paid,9aa744ec-ded
547,547,UPI,Paid,8f1b0fd8-30b
548,548,Credit Card,Paid,b022c910-82f
549,549,Debit Card,Paid,57a72871-ba9
550,550,UPI,Paid,4bdea1c5-73f
551,551,Credit Card,Paid,67f15cb2-a26
552,552,Cash on Delivery,Paid,d77e3338-f30
553,553,Net Banking,Paid,48bc2b3c-a77
554,554,UPI,Paid,f9ecf072-255
555,555,Cash on Delivery,Pending,94af0d3c-532
556,556,Net Banking,Pending,44b70782-d17
557,557,Debit Card,Paid,1ccf48a3-425
558,558,Net Banking,Paid,4fe548fb-33c
559,559,Net Banking,Paid,fc07d3ab-8ae
560,560,Net Banking,Paid,849ca089-954
561,561,Cash on Delivery,Paid,0b93f2b1-3c1
562,562,Credit Card,Pending,21821f83-b98
563,563,Net Banking,Pending,b5dc8cdd-f86
564,564,Cash on Delivery,Pending,23660d4a-ed0
565,565,UPI,Paid,40508fc8-e13
566,566,Net Banking,Paid,5d8a5330-5d2
567,567,Debit Card,Paid,fca3916f-8f4
568,568,Debit Card,Pending,8221b4c2-027
569,569,Cash on Delivery,Pending,68b96230-afb
570,570,Net Banking,Pending,c035c50a-300
571,571,Cash on Delivery,Paid,d85081b6-2f1
572,572,Debit Card,Paid,00b66004-ceb
573,573,Net Banking,Paid,218da220-4fb
574,574,UPI,Paid,d78ff043-0f7
575,575,Cash on Delivery,Paid,03c572a6-356
576,576,Cash on Delivery,Paid,413c3ccf-0bb
577,577,Debit Card,Paid,33cd3060-37e
578,578,Cash on Delivery,Paid,07808bff-73d
579,579,Cash on Delivery,Paid,d3729694-194
580,580,Debit Card,Paid,f8726143-b54
581,581,Debit Card,Paid,a3323059-11c
582,582,Net Banking,Pending,a20aaa49-804
583,583,Net Banking,Paid,2f2c8dba-f7e
584,584,Credit Card,Pending,76cc16cd-d6f
585,585,Cash on Delivery,Paid,bb7e65ad-0f7
586,586,Debit Card,Paid,c243c465-ce1
